Publisher,BoardGame,YearPublished,NumberOfPlayers,Rating
AEG,Tiny Towns,2019,6949,7.43
AEG,Love Letter,2012,6944,7.24
AEG,Space Base,2018,5370,7.52
AEG,Point Salad,2019,3468,7.35
AEG,Mystic Vale,2016,2368,7.3
BlueOrange,Kingdomino,2016,10175,7.36
BlueOrange,Photosynthesis,2017,4049,7.19
BlueOrange,Planet,2018,2575,6.8
BlueOrange,Blue Lagoon,2018,1951,7.24
BlueOrange,Kingdomino Duel,2019,840,7.1
CMON,Gizmos,2018,5376,7.5
CMON,Blood Rage,2015,4690,8.01
CMON,Rising Son,2018,3324,7.93
CMON,The Godfather,2017,1500,7.59
CMON,Zombicide: Black Plague,2015,1498,7.71
HansImGluck,Carcassonne,2000,9713,7.42
HansImGluck,Stone Age,2008,5011,7.59
HansImGluck,Marco Polo,2015,4016,7.92
HansImGluck,Hadara,2019,2965,7.52
HansImGluck,Citadels,2000,2546,7.09
Kosmos,Catan,1995,6108,7.17
Kosmos,Lost Cities,1999,4254,7.17
Kosmos,Imhotep,2016,3005,7.22
Kosmos,Targi,2012,2876,7.62
Kosmos,5-Minute Dungeon,2018,1566,7.13
LookoutGames,Patchwork,2014,8657,7.68
LookoutGames,Barenpark,2017,4680,7.36
LookoutGames,Isel of Skye,2015,4504,7.45
LookoutGames,Agricola,2007,3906,7.97
LookoutGames,Caverna,2013,3390,8.04
StonemaierGames,Wingspan,2019,19623,8.11
StonemaierGames,Scythe,2016,11652,8.26
StonemaierGames,Viticulutre,2015,6896,8.11
StonemaierGames,Tapestry,2019,6874,7.52
StonemaierGames,Charterstone,2017,2812,7.51